year,15min,30min,1hr,2hr,6hr,24hr
1971,629.92,314.96,157.48,78.74,26.246666666666666,6.5616666666666665
1972,132.08,111.76,68.58,34.29,11.853333333333333,2.9633333333333334
1973,172.72,86.36,43.18,29.21,13.123333333333335,4.7625
1974,91.44,60.959999999999994,33.019999999999996,20.32,10.16,6.4558333333333335
1975,91.44,55.879999999999995,30.479999999999997,16.509999999999998,9.313333333333334,6.1383333333333345
1976,91.44,86.36,53.34,27.94,12.700000000000001,5.291666666666667
1977,223.52,111.76,58.42,29.21,12.700000000000001,4.1275
1978,121.92,101.6,71.12,39.37,13.123333333333333,3.2808333333333333
1979,162.56,81.28,43.17999999999999,31.75,23.28333333333333,7.9375
1980,81.28,66.03999999999999,35.559999999999995,26.669999999999998,13.546666666666665,5.185833333333332
1981,91.44,66.03999999999999,35.56,19.049999999999997,10.159999999999998,4.7625
1982,81.28,66.03999999999999,35.56,20.319999999999997,11.853333333333332,5.079999999999999
1983,121.92,81.28,45.72,25.4,13.969999999999999,4.233333333333333
1984,71.11999999999999,40.64,22.86,16.51,7.196666666666665,2.5399999999999996
1985,60.959999999999994,45.72000000000001,33.019999999999996,16.509999999999998,8.889999999999999,2.7516666666666665
1986,111.76,96.52000000000001,58.42,31.75,11.43,3.1749999999999994
1987,81.28,50.80000000000001,38.1,25.4,9.31333333333333,3.9158333333333335
1988,111.76,96.52000000000001,58.42000000000001,31.75,11.006666666666666,4.1275
1989,50.8,45.72000000000001,38.10000000000001,26.67,11.853333333333333,4.1275
1990,91.44,76.20000000000002,38.10000000000001,20.32,13.969999999999999,6.879166666666666
1991,142.23999999999998,71.12000000000002,35.56000000000001,21.59,11.853333333333332,4.1275
1992,71.11999999999999,60.96000000000002,43.180000000000014,22.859999999999996,8.889999999999999,3.4925
1993,132.08,66.04000000000003,33.020000000000024,16.51,7.619999999999998,3.598333333333334
1994,81.28,71.12000000000003,35.56000000000002,22.86,14.816666666666665,4.974166666666666
1995,91.44,81.28000000000003,50.80000000000001,29.209999999999997,11.429999999999998,5.609166666666667
1996,91.44,71.12000000000002,40.640000000000015,24.13,9.736666666666666,2.8575
1997,91.44,81.28000000000003,53.34000000000002,34.29,13.969999999999999,4.444999999999999
1998,50.8,45.72000000000003,38.100000000000016,24.129999999999995,13.123333333333333,8.255
1999,101.6,71.12000000000003,50.80000000000002,31.75,14.816666666666665,6.6675
2000,81.28,40.64000000000003,22.860000000000017,11.429999999999998,7.196666666666665,2.54
2001,111.76,91.44000000000003,63.50000000000002,36.83,17.356666666666666,6.0325
2002,60.959999999999994,55.88000000000004,38.10000000000002,31.749999999999996,14.816666666666665,3.81
2003,152.4,116.84000000000005,71.12000000000003,52.06999999999999,19.05,6.7733333333333325
2004,81.28,55.88000000000004,40.64000000000003,34.28999999999999,24.97666666666667,8.360833333333334
2005,91.44,60.960000000000036,40.64000000000003,31.749999999999996,19.896666666666665,5.820833333333333
2006,121.92,81.28000000000004,71.12000000000003,43.17999999999999,18.203333333333333,6.879166666666667
2007,91.44,66.04000000000005,35.56000000000003,17.779999999999998,6.7733333333333325,2.1166666666666667
2008,172.72,86.36000000000004,43.18000000000003,24.129999999999995,12.699999999999998,5.185833333333333
2009,121.92,81.28000000000004,53.34000000000003,33.019999999999996,14.816666666666665,4.974166666666666
2010,81.28,66.04000000000005,53.340000000000025,46.989999999999995,21.16666666666666,6.5616666666666665
2011,91.44,66.04000000000005,43.18000000000003,27.939999999999994,9.31333333333333,3.5983333333333327
2012,91.44,76.20000000000005,45.72000000000003,35.559999999999995,13.546666666666665,3.809999999999999
2013,71.11999999999999,60.960000000000036,45.72000000000003,33.019999999999996,15.239999999999997,5.820833333333333
