duration,T_years,best_fit_dist,intensity_mm_per_hr,atlas14_intensity,diff_mm_hr,pct_difference
15min,2,LP3,90.193,92.558,-2.365,-2.6
15min,5,LP3,132.616,111.76,20.856,18.7
15min,10,LP3,176.745,127.0,49.745,39.2
15min,25,LP3,258.853,148.336,110.517,74.5
15min,50,LP3,346.549,163.576,182.973,111.9
15min,100,LP3,465.513,179.832,285.681,158.9
30min,2,LP3,66.761,67.056,-0.295,-0.4
30min,5,LP3,91.804,81.28,10.524,12.9
30min,10,LP3,114.986,92.456,22.53,24.4
30min,25,LP3,153.737,107.696,46.041,42.8
30min,50,LP3,191.098,131.064,60.034,45.8
30min,100,LP3,237.432,142.748,94.684,66.3
1hr,2,LP3,42.109,43.688,-1.579,-3.6
1hr,5,LP3,57.262,52.578,4.684,8.9
1hr,10,LP3,69.874,59.944,9.93,16.6
1hr,25,LP3,89.18,70.612,18.568,26.3
1hr,50,LP3,106.347,78.74,27.607,35.1
1hr,100,LP3,126.225,87.376,38.849,44.5
2hr,2,LP3,27.013,26.924,0.089,0.3
2hr,5,LP3,36.697,32.258,4.439,13.8
2hr,10,LP3,43.431,36.83,6.601,17.9
2hr,25,LP3,52.307,43.561,8.746,20.1
2hr,50,LP3,59.19,48.895,10.295,21.1
2hr,100,LP3,66.309,54.61,11.699,21.4
6hr,2,LP3,12.58,12.192,0.388,3.2
6hr,5,LP3,16.67,14.647,2.023,13.8
6hr,10,LP3,19.447,16.933,2.514,14.8
6hr,25,LP3,23.039,20.447,2.592,12.7
6hr,50,LP3,25.78,23.453,2.327,9.9
6hr,100,LP3,28.579,26.712,1.867,7.0
24hr,2,LP3,4.709,4.403,0.306,6.9
24hr,5,LP3,6.206,5.429,0.777,14.3
24hr,10,LP3,7.108,6.382,0.726,11.4
24hr,25,LP3,8.161,7.842,0.319,4.1
24hr,50,LP3,8.892,9.102,-0.21,-2.3
24hr,100,LP3,9.583,10.456,-0.873,-8.3
