duration,T_years,best_fit_dist,intensity_mm_per_hr,d_hours
15min,2,LP3,90.193,0.25
15min,5,LP3,132.616,0.25
15min,10,LP3,176.745,0.25
15min,25,LP3,258.853,0.25
15min,50,LP3,346.549,0.25
15min,100,LP3,465.513,0.25
30min,2,LP3,66.761,0.5
30min,5,LP3,91.804,0.5
30min,10,LP3,114.986,0.5
30min,25,LP3,153.737,0.5
30min,50,LP3,191.098,0.5
30min,100,LP3,237.432,0.5
1hr,2,LP3,42.109,1.0
1hr,5,LP3,57.262,1.0
1hr,10,LP3,69.874,1.0
1hr,25,LP3,89.18,1.0
1hr,50,LP3,106.347,1.0
1hr,100,LP3,126.225,1.0
2hr,2,LP3,27.013,2.0
2hr,5,LP3,36.697,2.0
2hr,10,LP3,43.431,2.0
2hr,25,LP3,52.307,2.0
2hr,50,LP3,59.19,2.0
2hr,100,LP3,66.309,2.0
6hr,2,LP3,12.58,6.0
6hr,5,LP3,16.67,6.0
6hr,10,LP3,19.447,6.0
6hr,25,LP3,23.039,6.0
6hr,50,LP3,25.78,6.0
6hr,100,LP3,28.579,6.0
24hr,2,LP3,4.709,24.0
24hr,5,LP3,6.206,24.0
24hr,10,LP3,7.108,24.0
24hr,25,LP3,8.161,24.0
24hr,50,LP3,8.892,24.0
24hr,100,LP3,9.583,24.0
