duration,T_years,best_fit_dist,intensity_mm_per_hr
15min,2,LP3,90.193
15min,5,LP3,132.616
15min,10,LP3,176.745
15min,25,LP3,258.853
15min,50,LP3,346.549
15min,100,LP3,465.513
30min,2,LP3,66.761
30min,5,LP3,91.804
30min,10,LP3,114.986
30min,25,LP3,153.737
30min,50,LP3,191.098
30min,100,LP3,237.432
1hr,2,LP3,42.109
1hr,5,LP3,57.262
1hr,10,LP3,69.874
1hr,25,LP3,89.18
1hr,50,LP3,106.347
1hr,100,LP3,126.225
2hr,2,LP3,27.013
2hr,5,LP3,36.697
2hr,10,LP3,43.431
2hr,25,LP3,52.307
2hr,50,LP3,59.19
2hr,100,LP3,66.309
6hr,2,LP3,12.58
6hr,5,LP3,16.67
6hr,10,LP3,19.447
6hr,25,LP3,23.039
6hr,50,LP3,25.78
6hr,100,LP3,28.579
24hr,2,LP3,4.709
24hr,5,LP3,6.206
24hr,10,LP3,7.108
24hr,25,LP3,8.161
24hr,50,LP3,8.892
24hr,100,LP3,9.583
