duration,T_years,intensity_with_outlier,intensity_without_outlier,pct_change
15min,2,90.197,95.896,6.32
15min,5,132.628,127.139,-4.14
15min,10,176.767,148.849,-15.79
15min,25,258.897,177.482,-31.45
15min,50,346.62,199.715,-42.38
15min,100,465.626,222.748,-52.16
30min,2,66.756,70.885,6.18
30min,5,91.805,88.052,-4.09
30min,10,114.993,98.167,-14.63
30min,25,153.755,109.847,-28.56
30min,50,191.13,117.894,-38.32
30min,100,237.482,125.476,-47.16
1hr,2,42.111,43.514,3.33
1hr,5,57.268,54.693,-4.5
1hr,10,69.884,61.539,-11.94
1hr,25,89.197,69.695,-21.86
1hr,50,106.371,75.476,-29.04
1hr,100,126.256,81.045,-35.81
2hr,2,27.01,27.224,0.79
2hr,5,36.69,34.987,-4.64
2hr,10,43.421,39.49,-9.05
2hr,25,52.293,44.596,-14.72
2hr,50,59.172,48.048,-18.8
2hr,100,66.286,51.247,-22.69
6hr,2,12.58,12.58,0.0
6hr,5,16.671,16.671,0.0
6hr,10,19.449,19.449,0.0
6hr,25,23.043,23.043,0.0
6hr,50,25.786,25.786,0.0
6hr,100,28.586,28.586,0.0
24hr,2,4.709,4.709,0.0
24hr,5,6.207,6.207,0.0
24hr,10,7.109,7.109,0.0
24hr,25,8.163,8.163,0.0
24hr,50,8.893,8.893,0.0
24hr,100,9.584,9.584,0.0
