period,duration,T_years,intensity_mm_per_hr
1971-1992,15min,2,94.878
1971-1992,15min,5,152.885
1971-1992,15min,10,216.796
1971-1992,15min,25,343.236
1971-1992,15min,50,486.574
1971-1992,15min,100,691.47
1993-2013,15min,2,93.954
1993-2013,15min,5,119.842
1993-2013,15min,10,136.527
1993-2013,15min,25,157.241
1993-2013,15min,50,172.48
1993-2013,15min,100,187.602
1971-1992,30min,2,68.676
1971-1992,30min,5,101.861
1971-1992,30min,10,134.352
1971-1992,30min,25,191.768
1971-1992,30min,50,250.166
1971-1992,30min,100,326.021
1993-2013,30min,2,69.965
1993-2013,30min,5,84.635
1993-2013,30min,10,93.012
1993-2013,30min,25,102.462
1993-2013,30min,50,108.843
1993-2013,30min,100,114.764
1971-1992,1hr,2,40.755
1971-1992,1hr,5,58.651
1971-1992,1hr,10,75.472
1971-1992,1hr,25,104.093
1971-1992,1hr,50,132.177
1971-1992,1hr,100,167.537
1993-2013,1hr,2,45.304
1993-2013,1hr,5,56.061
1993-2013,1hr,10,62.223
1993-2013,1hr,25,69.176
1993-2013,1hr,50,73.865
1993-2013,1hr,100,78.208
1971-1992,2hr,2,24.083
1971-1992,2hr,5,33.242
1971-1992,2hr,10,41.364
1971-1992,2hr,25,54.476
1971-1992,2hr,50,66.72
1971-1992,2hr,100,81.496
1993-2013,2hr,2,30.467
1993-2013,2hr,5,39.214
1993-2013,2hr,10,43.618
1993-2013,2hr,25,48.014
1993-2013,2hr,50,50.634
1993-2013,2hr,100,52.819
1971-1992,6hr,2,11.381
1971-1992,6hr,5,14.862
1971-1992,6hr,10,17.697
1971-1992,6hr,25,21.948
1971-1992,6hr,50,25.656
1971-1992,6hr,100,29.879
1993-2013,6hr,2,13.916
1993-2013,6hr,5,18.327
1993-2013,6hr,10,20.847
1993-2013,6hr,25,23.655
1993-2013,6hr,50,25.518
1993-2013,6hr,100,27.216
1971-1992,24hr,2,4.416
1971-1992,24hr,5,5.739
1971-1992,24hr,10,6.592
1971-1992,24hr,25,7.648
1971-1992,24hr,50,8.424
1971-1992,24hr,100,9.191
1993-2013,24hr,2,5.059
1993-2013,24hr,5,6.71
1993-2013,24hr,10,7.621
1993-2013,24hr,25,8.602
1993-2013,24hr,50,9.232
1993-2013,24hr,100,9.79
